epoch,Depth_accuracy,Depth_loss,Horizontal_position_accuracy,Horizontal_position_loss,loss,val_Depth_accuracy,val_Depth_loss,val_Horizontal_position_accuracy,val_Horizontal_position_loss,val_loss
0,0.0,1.8717175,0.0,71.09412,74.83742094707489,0.0,0.22148983,0.0,7.875695,8.318675396442414
1,0.0,0.4736051,0.0,1.1799654,2.12717519402504,0.0,0.16206735,0.0,1.4591533,1.783288399577141
2,0.0,0.32131106,0.0,0.8916754,1.5342974318265914,0.0,0.16263649,0.0,0.36019066,0.6854638487100602
3,0.0,0.279491,0.0,0.7792412,1.3382233110666275,0.0,0.22728994,0.0,5.298069,5.752648546695709
4,0.0,0.22969541,0.0,0.8534547,1.31284544429183,0.0,0.25744462,0.0,2.6154826,3.130371981859207
5,0.0,0.19787507,0.0,0.87712085,1.272870154350996,0.0,0.04836322,0.0,1.3357266,1.4324529713392258
6,0.0,0.17568554,0.0,0.9284588,1.279829589664936,0.0,0.04914823,0.0,0.53422356,0.6325200563669204
7,0.0,0.16362679,0.0,0.5409453,0.8681993769109249,0.0,0.09484045,0.0,0.5805308,0.7702117022871972
8,0.0,0.14401832,0.0,0.6489321,0.9369687424898148,0.0,0.023394633,0.0,0.27748442,0.3242736341059208
9,0.0,0.13080844,0.0,0.6005789,0.8621960649192333,0.0,0.037363466,0.0,1.5075431,1.5822692054510117
10,0.0,0.12535726,0.0,0.67001593,0.9207302762269973,0.0,0.027483871,0.0,1.113296,1.1682635322213173
11,0.0,0.11143484,0.0,0.4621756,0.6850458801686764,0.0,0.041447606,0.0,0.43970257,0.5225979016721248
12,0.0,0.09783847,0.0,0.4115391,0.6072160971462727,0.0,0.02004997,0.0,0.24299926,0.28309914238750933
13,0.0,0.09810331,0.0,0.49880305,0.6950096078515052,0.0,0.4374768,0.0,0.5464681,1.4214218789339066
14,0.0,0.09074918,0.0,0.41027358,0.5917719413936138,0.0,0.10002822,0.0,0.64492315,0.844979293346405
15,0.0,0.08391993,0.0,0.38269284,0.550532397761941,0.0,0.11245485,0.0,0.22467591,0.449585572630167
16,0.0,0.08621294,0.0,0.3543311,0.526757170394063,0.0,0.3756056,0.0,0.3250957,1.0763066840171813
17,0.0,0.079791576,0.0,0.35915115,0.5187344632297755,0.0,0.23408586,0.0,0.46553648,0.9337081092596055
18,0.0,0.07763124,0.0,0.29743293,0.4526957787126303,0.0,0.02453936,0.0,0.18911643,0.23819516941905022
19,0.0,0.07321389,0.0,0.3287426,0.4751702328026295,0.0,0.033648852,0.0,0.09653828,0.16383594274520874
20,0.0,0.07084063,0.0,0.28062004,0.4223013604283333,0.0,0.118609905,0.0,0.2572441,0.49446399211883546
21,0.0,0.07170711,0.0,0.35163316,0.4950474810302258,0.0,0.06687674,0.0,0.14552493,0.2792783831804991
22,0.0,0.06845122,0.0,0.31661868,0.45352116875350473,0.0,0.024963092,0.0,0.194801,0.24472715355455876
23,0.0,0.06616614,0.0,0.262165,0.39449743694067,0.0,0.05500526,0.0,0.31963944,0.42965004056692124
24,0.0,0.06684141,0.0,0.27911267,0.412795395180583,0.0,0.035112884,0.0,0.07379009,0.1440158549323678
25,0.0,0.063281,0.0,0.21076243,0.33732430429756644,0.0,0.056241512,0.0,0.053592995,0.16607604414224625
26,0.0,0.06606465,0.0,0.31241253,0.4445416326671839,0.0,0.25568426,0.0,0.068375155,0.5797438105940819
27,0.0,0.05984947,0.0,0.18019646,0.29989544823765757,0.0,0.032533005,0.0,0.15997678,0.22504277862608432
28,0.0,0.06165456,0.0,0.2707783,0.3940873827189207,0.0,0.033888564,0.0,0.1387489,0.20652599610388278
29,0.0,0.059684206,0.0,0.18614364,0.30551178111135957,0.0,0.16526578,0.0,0.054402433,0.3849340958893299
30,0.0,0.05748837,0.0,0.20926689,0.32424370901286603,0.0,0.1947219,0.0,0.2584953,0.6479389561712742
31,0.0,0.045476697,0.0,0.090316415,0.18126972542703151,0.0,0.08518018,0.0,0.038786914,0.20914727747440337
32,0.0,0.04373179,0.0,0.080459796,0.1679234607964754,0.0,0.08689253,0.0,0.03870722,0.21249230995774268
33,0.0,0.043598842,0.0,0.08033807,0.16753563790768386,0.0,0.10521202,0.0,0.059592538,0.2700166629999876
34,0.0,0.043167897,0.0,0.07940319,0.1657391082048416,0.0,0.062041238,0.0,0.041460577,0.16554303009063007
35,0.0,0.04273767,0.0,0.07883855,0.16431382788717747,0.0,0.12653288,0.0,0.062917314,0.3159831108897924
36,0.0,0.042536385,0.0,0.07709224,0.1621650206372142,0.0,0.11022623,0.0,0.045360837,0.2658133491128683
37,0.0,0.04198837,0.0,0.07723461,0.16121126353740692,0.0,0.09836678,0.0,0.045393206,0.24212681002914904
38,0.0,0.04197735,0.0,0.07476742,0.1587221213132143,0.0,0.09287974,0.0,0.034643397,0.22040287010371684
39,0.0,0.041712377,0.0,0.07790187,0.1613266321644187,0.0,0.091210276,0.0,0.08896517,0.2713856578618288
40,0.0,0.04178477,0.0,0.074564934,0.158134515337646,0.0,0.08922253,0.0,0.030074112,0.20851921930909156
41,0.0,0.04137115,0.0,0.07588454,0.15862689891457557,0.0,0.07229058,0.0,0.050794844,0.19537593334913253
42,0.0,0.04103888,0.0,0.07265272,0.1547304970100522,0.0,0.12987049,0.0,0.040770765,0.30051161892712114
43,0.0,0.04088371,0.0,0.07342832,0.15519581221044063,0.0,0.1424016,0.0,0.045061655,0.3298648522794247
44,0.0,0.04086258,0.0,0.07205879,0.15378392362594603,0.0,0.066074826,0.0,0.052083954,0.1842336256057024
45,0.0,0.041040134,0.0,0.07179389,0.1538741379007697,0.0,0.100705646,0.0,0.042557154,0.2439684170484543
46,0.0,0.040473543,0.0,0.071108036,0.15205505906790495,0.0,0.07927427,0.0,0.03131613,0.18986465901136398
47,0.0,0.040506076,0.0,0.07189451,0.15290671654790639,0.0,0.073890604,0.0,0.03716343,0.18494466781616212
48,0.0,0.040491506,0.0,0.07123649,0.15221952115744353,0.0,0.0938861,0.0,0.03405707,0.22182927541434766
49,0.0,0.040147856,0.0,0.070479974,0.15077563846856357,0.0,0.07089318,0.0,0.042309858,0.18409618813544512
50,0.0,0.039790995,0.0,0.069006726,0.14858871003985405,0.0,0.12609692,0.0,0.035816815,0.2880106279999018
51,0.0,0.039686747,0.0,0.07038587,0.14975928069651126,0.0,0.100208156,0.0,0.046194673,0.24661100186407567
52,0.0,0.039848983,0.0,0.06901031,0.1487081882059574,0.0,0.059137296,0.0,0.035855994,0.1541306000575423
53,0.0,0.03952621,0.0,0.0695937,0.148646124728024,0.0,0.07562093,0.0,0.03463162,0.1858734879642725
54,0.0,0.03915879,0.0,0.06787889,0.14619654285907746,0.0,0.10273015,0.0,0.03622292,0.2416832496225834
55,0.0,0.039142173,0.0,0.06804157,0.14632586166262626,0.0,0.0626463,0.0,0.04607841,0.17137100413441658
56,0.0,0.03920725,0.0,0.06773911,0.14615365670621394,0.0,0.11408202,0.0,0.06663897,0.29480302780866624
57,0.0,0.038789243,0.0,0.06728479,0.1448632868230343,0.0,0.06656988,0.0,0.03811451,0.17125428080558777
58,0.0,0.038693275,0.0,0.066697404,0.14408404513448478,0.0,0.08740819,0.0,0.041097783,0.2159141457825899
59,0.0,0.038966946,0.0,0.06757245,0.14550636168569325,0.0,0.090471305,0.0,0.046960067,0.22790269263088703
60,0.0,0.038868003,0.0,0.06862573,0.14636176435649395,0.0,0.07595536,0.0,0.037093945,0.18900466062128543
61,0.0,0.037694078,0.0,0.061650805,0.13703904166817665,0.0,0.07128381,0.0,0.042001113,0.18456869192421435
62,0.0,0.03782023,0.0,0.06143506,0.13707550995051862,0.0,0.08394496,0.0,0.06176284,0.2296527400612831
63,0.0,0.037992608,0.0,0.06255289,0.13853811459988355,0.0,0.07384252,0.0,0.046147108,0.19383214540779592
64,0.0,0.037462853,0.0,0.0620128,0.13693851713836194,0.0,0.09826296,0.0,0.05149969,0.24802562452852725
65,0.0,0.037675083,0.0,0.062230796,0.1375808958634734,0.0,0.08007785,0.0,0.036736906,0.1968925554305315
66,0.0,0.037415978,0.0,0.061667237,0.13649918408691883,0.0,0.08663835,0.0,0.039767127,0.21304381594061853
67,0.0,0.037573285,0.0,0.062065855,0.13721240294724704,0.0,0.07934222,0.0,0.03925269,0.1979371417313814
68,0.0,0.037363295,0.0,0.061869785,0.13659633362293244,0.0,0.06716362,0.0,0.033611976,0.16793919585645198
69,0.0,0.037391253,0.0,0.0617342,0.1365167091116309,0.0,0.085907996,0.0,0.041051354,0.21286732487380505
70,0.0,0.03735227,0.0,0.061530065,0.1362347201704979,0.0,0.053428415,0.0,0.036883827,0.14374061837792396
71,0.0,0.037143372,0.0,0.06181094,0.1360976622104645,0.0,0.09940046,0.0,0.038257048,0.2370579196512699
72,0.0,0.037235398,0.0,0.061267048,0.13573791292309761,0.0,0.091372795,0.0,0.037178025,0.219923639819026
73,0.0,0.037295345,0.0,0.06123903,0.1358296587616205,0.0,0.07666404,0.0,0.037741728,0.191069817841053
74,0.0,0.037044875,0.0,0.060464326,0.13455408511310815,0.0,0.08173135,0.0,0.042826977,0.2062896716594696
75,0.0,0.0372545,0.0,0.06047267,0.13498167426139115,0.0,0.10757474,0.0,0.040484056,0.25563352800905703
76,0.0,0.03701308,0.0,0.05980702,0.13383316452056168,0.0,0.08862229,0.0,0.03496435,0.21220891565084457
77,0.0,0.03698891,0.0,0.06056171,0.1345394701883197,0.0,0.07703964,0.0,0.037537437,0.19161670930683614
78,0.0,0.03718261,0.0,0.060102057,0.1344672324433923,0.0,0.075982325,0.0,0.034929078,0.18689372673630714
79,0.0,0.036718976,0.0,0.05993747,0.1333754601702094,0.0,0.062801056,0.0,0.04144204,0.1670442024618387
80,0.0,0.036720406,0.0,0.060182933,0.1336236933991313,0.0,0.10106,0.0,0.040877033,0.24299703299999237
81,0.0,0.03677389,0.0,0.06036023,0.13390801357477902,0.0,0.08985842,0.0,0.055692837,0.23540966548025608
82,0.0,0.03673377,0.0,0.059318904,0.13278644844144583,0.0,0.06850257,0.0,0.05127631,0.18828147403895856
83,0.0,0.03681982,0.0,0.059215017,0.13285465136915445,0.0,0.0916733,0.0,0.032621227,0.21596781797707082
84,0.0,0.03683854,0.0,0.059699662,0.1333767273798585,0.0,0.10669194,0.0,0.042803742,0.2561875973641872
85,0.0,0.03686879,0.0,0.0593904,0.13312797386199235,0.0,0.098725416,0.0,0.041458473,0.23890939399600028
86,0.0,0.036276814,0.0,0.060226902,0.13278056360036133,0.0,0.07901751,0.0,0.040777463,0.1988125230371952
87,0.0,0.036257315,0.0,0.058318447,0.13083316539227963,0.0,0.076608606,0.0,0.037705068,0.19092224881052972
88,0.0,0.03628572,0.0,0.059597664,0.13216915076971053,0.0,0.08424932,0.0,0.04051006,0.2090086467564106
89,0.0,0.036404002,0.0,0.05893042,0.13173841995745897,0.0,0.092008345,0.0,0.05581021,0.23982688412070274
90,0.0,0.03625324,0.0,0.05939047,0.13189699206501246,0.0,0.06846399,0.0,0.037684675,0.17461260624229907
91,0.0,0.0364363,0.0,0.05830688,0.1311794393733144,0.0,0.054231733,0.0,0.044293057,0.15275653213262558
92,0.0,0.036479488,0.0,0.05897703,0.13193601965159177,0.0,0.09207033,0.0,0.06674624,0.2508868438005447
93,0.0,0.036402583,0.0,0.058981806,0.1317870071604848,0.0,0.06877396,0.0,0.034864534,0.17241243556141853
94,0.0,0.036205135,0.0,0.058596704,0.13100689137727023,0.0,0.079333335,0.0,0.03838014,0.19704680055379867
95,0.0,0.0362318,0.0,0.05828377,0.13074732748419046,0.0,0.052564062,0.0,0.042962864,0.1480910102650523
96,0.0,0.036027215,0.0,0.058139,0.13019344978779554,0.0,0.10547673,0.0,0.045341536,0.25629499040544035
97,0.0,0.03585712,0.0,0.05766432,0.12937854328751563,0.0,0.0625614,0.0,0.039177246,0.1643000366538763
98,0.0,0.035816774,0.0,0.058537006,0.13017058039456605,0.0,0.089397915,0.0,0.044750944,0.22354678973555564
99,0.0,0.03570307,0.0,0.05818094,0.12958709920942785,0.0,0.0611003,0.0,0.038138855,0.1603394665196538
